time_iso8601,stars_cumulative
2024-08-09 00:00:00+00:00,1197
2024-08-10 00:00:00+00:00,1199
2024-08-11 00:00:00+00:00,1200
2024-08-12 00:00:00+00:00,1210
2024-08-13 00:00:00+00:00,1212
2024-08-15 00:00:00+00:00,1215
2024-08-16 00:00:00+00:00,1216
2024-08-17 00:00:00+00:00,1217
2024-08-18 00:00:00+00:00,1218
2024-08-19 00:00:00+00:00,1219
2024-08-20 00:00:00+00:00,1222
2024-08-21 00:00:00+00:00,1223
2024-08-22 00:00:00+00:00,1224
2024-08-26 00:00:00+00:00,1225
2024-08-27 00:00:00+00:00,1227
2024-08-28 00:00:00+00:00,1228
2024-08-29 00:00:00+00:00,1232
2024-08-30 00:00:00+00:00,1233
2024-09-01 00:00:00+00:00,1234
2024-09-02 00:00:00+00:00,1236
2024-09-06 00:00:00+00:00,1237
2024-09-07 00:00:00+00:00,1238
2024-09-09 00:00:00+00:00,1241
2024-09-10 00:00:00+00:00,1242
2024-09-13 00:00:00+00:00,1243
2024-09-14 00:00:00+00:00,1245
2024-09-16 00:00:00+00:00,1247
2024-09-17 00:00:00+00:00,1249
2024-09-18 00:00:00+00:00,1251
2024-09-19 00:00:00+00:00,1252
2024-09-22 00:00:00+00:00,1253
2024-09-23 00:00:00+00:00,1254
2024-09-24 00:00:00+00:00,1255
2024-09-25 00:00:00+00:00,1256
2024-09-26 00:00:00+00:00,1258
2024-09-28 00:00:00+00:00,1259
2024-10-01 00:00:00+00:00,1260
2024-10-02 00:00:00+00:00,1261
2024-10-03 00:00:00+00:00,1262
2024-10-04 00:00:00+00:00,1264
2024-10-05 00:00:00+00:00,1265
2024-10-06 00:00:00+00:00,1266
2024-10-07 00:00:00+00:00,1267
2024-10-10 00:00:00+00:00,1268
2024-10-11 00:00:00+00:00,1269
2024-10-12 00:00:00+00:00,1271
2024-10-14 00:00:00+00:00,1273
2024-10-16 00:00:00+00:00,1274
2024-10-17 00:00:00+00:00,1275
2024-10-21 00:00:00+00:00,1278
2024-10-22 00:00:00+00:00,1279
2024-10-24 00:00:00+00:00,1283
2024-10-25 00:00:00+00:00,1359
2024-10-26 00:00:00+00:00,1387
2024-10-27 00:00:00+00:00,1408
2024-10-28 00:00:00+00:00,1429
2024-10-29 00:00:00+00:00,1435
2024-10-30 00:00:00+00:00,1436
2024-10-31 00:00:00+00:00,1437
2024-11-01 00:00:00+00:00,1438
2024-11-02 00:00:00+00:00,1443
2024-11-03 00:00:00+00:00,1445
2024-11-04 00:00:00+00:00,1446
2024-11-05 00:00:00+00:00,1449
2024-11-06 00:00:00+00:00,1453
2024-11-07 00:00:00+00:00,1454
2024-11-08 00:00:00+00:00,1456
2024-11-13 00:00:00+00:00,1457
2024-11-14 00:00:00+00:00,1460
2024-11-15 00:00:00+00:00,1461
2024-11-16 00:00:00+00:00,1462
2024-11-18 00:00:00+00:00,1464
2024-11-20 00:00:00+00:00,1465
2024-11-22 00:00:00+00:00,1466
2024-11-24 00:00:00+00:00,1472
2024-11-25 00:00:00+00:00,1473
2024-11-28 00:00:00+00:00,1478
2024-11-29 00:00:00+00:00,1479
2024-11-30 00:00:00+00:00,1480
2024-12-03 00:00:00+00:00,1482
2024-12-04 00:00:00+00:00,1483
2024-12-05 00:00:00+00:00,1484
2024-12-06 00:00:00+00:00,1486
2024-12-13 00:00:00+00:00,1488
2024-12-16 00:00:00+00:00,1492
2024-12-19 00:00:00+00:00,1493
2024-12-22 00:00:00+00:00,1494
2024-12-23 00:00:00+00:00,1495
2024-12-25 00:00:00+00:00,1496
2024-12-27 00:00:00+00:00,1497
2024-12-28 00:00:00+00:00,1498
2024-12-30 00:00:00+00:00,1500
2025-01-02 00:00:00+00:00,1502
2025-01-03 00:00:00+00:00,1503
2025-01-05 00:00:00+00:00,1504
2025-01-07 00:00:00+00:00,1505
2025-01-08 00:00:00+00:00,1508
2025-01-09 00:00:00+00:00,1509
2025-01-10 00:00:00+00:00,1511
2025-01-11 00:00:00+00:00,1512
2025-01-12 00:00:00+00:00,1513
2025-01-13 00:00:00+00:00,1514
2025-01-17 00:00:00+00:00,1517
2025-01-19 00:00:00+00:00,1518
2025-01-20 00:00:00+00:00,1520
2025-01-22 00:00:00+00:00,1524
2025-01-23 00:00:00+00:00,1526
2025-01-24 00:00:00+00:00,1529
2025-01-27 00:00:00+00:00,1530
2025-01-29 00:00:00+00:00,1533
2025-01-30 00:00:00+00:00,1534
2025-02-01 00:00:00+00:00,1535
2025-02-02 00:00:00+00:00,1536
2025-02-03 00:00:00+00:00,1537
2025-02-04 00:00:00+00:00,1538
2025-02-05 00:00:00+00:00,1539
2025-02-06 00:00:00+00:00,1541
2025-02-07 00:00:00+00:00,1542
2025-02-09 00:00:00+00:00,1543
2025-02-13 00:00:00+00:00,1544
2025-02-14 00:00:00+00:00,1545
2025-02-15 00:00:00+00:00,1547
2025-02-17 00:00:00+00:00,1549
2025-02-18 00:00:00+00:00,1550
2025-02-20 00:00:00+00:00,1553
2025-02-21 00:00:00+00:00,1554
2025-02-22 00:00:00+00:00,1555
2025-02-24 00:00:00+00:00,1557
2025-02-25 00:00:00+00:00,1559
2025-02-26 00:00:00+00:00,1562
2025-03-05 00:00:00+00:00,1563
2025-03-06 00:00:00+00:00,1565
2025-03-09 00:00:00+00:00,1566
2025-03-10 00:00:00+00:00,1568
2025-03-11 00:00:00+00:00,1569
2025-03-12 00:00:00+00:00,1572
2025-03-14 00:00:00+00:00,1573
2025-03-17 00:00:00+00:00,1574
2025-03-18 00:00:00+00:00,1575
